id,claim,sentence,evidence,role
0,1 in 5 million in UK have abnormal PrP positivity.,"OBJECTIVES To carry out a further survey of archived appendix samples to understand better the differences between existing estimates of the prevalence of subclinical infection with prions after the bovine spongiform encephalopathy epizootic and to see whether a broader birth cohort was affected, and to understand better the implications for the management of blood and blood products and for the handling of surgical instruments.   
",False,OBJECTIVE
1,1 in 5 million in UK have abnormal PrP positivity.,"DESIGN Irreversibly unlinked and anonymised large scale survey of archived appendix samples.   
",False,METHODS
2,1 in 5 million in UK have abnormal PrP positivity.,"SETTING Archived appendix samples from the pathology departments of 41 UK hospitals participating in the earlier survey, and additional hospitals in regions with lower levels of participation in that survey.   ",False,METHODS
3,1 in 5 million in UK have abnormal PrP positivity.,"SAMPLE 32,441 archived appendix samples fixed in formalin and embedded in paraffin and tested for the presence of abnormal prion protein (PrP).   
",False,METHODS
4,1 in 5 million in UK have abnormal PrP positivity.,"RESULTS Of the 32,441 appendix samples 16 were positive for abnormal PrP, indicating an overall prevalence of 493 per million population (95% confidence interval 282 to 801 per million).",True,RESULTS
5,1 in 5 million in UK have abnormal PrP positivity.,"The prevalence in those born in 1941-60 (733 per million, 269 to 1596 per million) did not differ significantly from those born between 1961 and 1985 (412 per million, 198 to 758 per million) and was similar in both sexes and across the three broad geographical areas sampled.",False,RESULTS
6,1 in 5 million in UK have abnormal PrP positivity.,"Genetic testing of the positive specimens for the genotype at PRNP codon 129 revealed a high proportion that were valine homozygous compared with the frequency in the normal population, and in stark contrast with confirmed clinical cases of vCJD, all of which were methionine homozygous at PRNP codon 129.   
",False,RESULTS
7,1 in 5 million in UK have abnormal PrP positivity.,"CONCLUSIONS This study corroborates previous studies and suggests a high prevalence of infection with abnormal PrP, indicating vCJD carrier status in the population compared with the 177 vCJD cases to date.",False,CONCLUSIONS
8,1 in 5 million in UK have abnormal PrP positivity.,These findings have important implications for the management of blood and blood products and for the handling of surgical instruments.,False,CONCLUSIONS
9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,ContextChronic hepatitis C is the leading cause for liver transplantation in the United States.,False,BACKGROUND
